"Term","Campus","CRN","Course","Section","Cr Hrs","Course Title","Course Additional Information","Instructional Method","Instructor","Room","Session","Days","Time","Actual Enrolled","Max Enrolled","CCE Reserved","FYS Reserved","Un- reserved Available","Cross List Enrolled","Syllabus_Link"
201730,Guilford,33159,JPS 350,002,1,Participatory Action Research,Supplementary course for CMJS majors enrolled in JPS 337. Permission from instructor required.,,"Giles, Hollyce",KING 126,Full Term Courses,T,10:00am - 11:15am,5,25,0/0,0/0,20,,
201730,Guilford,32897,JPS 365,001,4,"Race,Society & Crim Just",,,"Lawrence, Barbara",FRNK 320,Full Term Courses,MW,11:30am - 12:45pm,24,25,0/0,0/0,1,,
201730,Guilford,32741,JPS 400,001,4,Trial Advocacy,,,"Parrish, Christopher",KING B25,Full Term Courses,R,7:25pm - 10:10pm,20,25,0/0,0/0,5,,
201730,Guilford,33089,JPS 447,001,4,Basic Group Facilitation,,,"Giles, Hollyce",KING 222,Full Term Courses,R,7:25pm - 10:10pm,2,20,0/0,0/0,18,,
201730,Guilford,32898,JPS 448,001,4,CMJS Capstone Seminar I,Note: For CMJS majors NOT CJ majors. Prerequisite: JPS 338 (formerly JPS 339).,,"Giles, Hollyce",KING B24,Full Term Courses,R,7:25pm - 10:10pm,4,25,0/0,0/0,21,,
201730,Guilford,33055,JPS 600,001,4,Analysis Foundations CJ,,,"Hancock, Marlana",KING 203,Full Term Courses,W,6:00pm - 9:00pm,6,25,,,,,
201730,Guilford,33056,JPS 601,001,4,Advanced Research Methods,,,"Bonventre, Catherine",KING 203,Full Term Courses,T,6:00pm - 9:00pm,5,25,,,,,
201730,Guilford,33057,JPS 602,001,4,Problem-Solving CJ,,,"Pizio, William",KING 202,Full Term Courses,M,6:00pm - 9:00pm,6,25,,,,,
201730,Guilford,30724,MATH 110,001,4,Math for the Liberal Arts,,,"Moran, Danielle",DUKE 303,Full Term Courses,TR,4:00pm - 5:15pm,25,25,,7/1,0,,
201730,Guilford,32929,MATH 112,001,4,Elementary Statistics,,,"Sihm, Jeong Sep",DUKE M-L,Full Term Courses,MR,2:30pm - 3:45pm,25,25,0/0,0/0,0,,
201730,Guilford,30725,MATH 112,002,4,Elementary Statistics,,,"Marlin, Benjamin",DUKE 211,Full Term Courses,TF,2:30pm - 3:45pm,23,25,,3/1,2,,
201730,Guilford,30727,MATH 112,003,4,Elementary Statistics,,,"Brandsma, Jane",DUKE 213,Full Term Courses,M,8:10pm - 10:10pm,26,25,0/0,0/0,0,,
